titulo,resumo,data_publicacao,url,pagina,coletado_em
Atibaia realiza 1º Encontro sobre Esclerose Múltipla e lança cadastro,,2026-09-16T13:21:02.948Z,https://g1.globo.com/sp/vale-do-paraiba-regiao/especial-publicitario/prefeitura-de-atibaia/noticias-de-atibaia/noticia/2026/09/16/atibaia-realiza-1o-encontro-sobre-esclerose-multipla-e-lanca-cadastro.ghtml,1,2026-09-16T21:57:39.653642-03:00
Integração TEC: mais de 37% dos órgãos e empresas não seguem regras da LGPD,Falhas na proteção de dados podem facilitar golpes e outros crimes. Veja esse e outros destaques do quadro.,2026-08-26T13:52:03-03:00,https://g1.globo.com/mg/zona-da-mata/mg1-zona-da-mata/video/integracao-tec-mais-de-37-dos-orgaos-e-empresas-nao-seguem-regras-da-lgpd-14903650.ghtml,1,2026-09-16T21:57:39.653642-03:00
EmpregaTrans: capacitação gratuita para pessoas trans e travestis abre 30 vagas em Cuiabá; saiba como se inscrever,,2026-09-15T16:40:53.050Z,https://g1.globo.com/mt/mato-grosso/noticia/2026/09/15/empregatrans-capacitacao-gratuita-para-pessoas-trans-abre-30-vagas-em-cuiaba-saiba-como-se-inscrever.ghtml,1,2026-09-16T21:57:39.653642-03:00
Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda nova regra da Anac que está em vigor,,2026-09-15T03:00:01.276Z,https://g1.globo.com/turismo-e-viagem/noticia/2026/09/15/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-nova-regra-da-anac-que-esta-em-vigor.ghtml,1,2026-09-16T21:57:39.653642-03:00
Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,,2026-08-25T19:27:03.279Z,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml,1,2026-09-16T21:57:39.653642-03:00
Novos médicos cooperados concluem curso de formação,,2026-09-04T21:18:20.713Z,https://g1.globo.com/pe/petrolina-regiao/especial-publicitario/unimed-vale-do-sao-francisco-o-cuidado-esta-em-tudo/noticia/2026/09/04/novos-medicos-cooperados-concluem-curso-de-formacao.ghtml,1,2026-09-16T21:57:39.653642-03:00
Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',,2026-03-09T19:04:08.578Z,https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml,1,2026-09-16T21:57:39.653642-03:00
Como a comunicação digital transforma a experiência do consumidor,,2026-09-09T19:32:31.439Z,https://g1.globo.com/am/amazonas/especial-publicitario/amazon-copy/noticia/2026/09/08/como-a-comunicacao-digital-transforma-a-experiencia-do-consumidor.ghtml,1,2026-09-16T21:57:39.653642-03:00
Santarém lança canal digital para denúncias e reclamações sobre o SUS,,2026-09-04T20:33:30.561Z,https://g1.globo.com/pa/santarem-regiao/noticia/2026/09/04/santarem-lanca-canal-digital-para-denuncias-e-reclamacoes-sobre-o-sus.ghtml,1,2026-09-16T21:57:39.653642-03:00
Governo lança medidas para padronizar uso de biometria em portos e aeroportos,,2026-08-31T22:52:12.712Z,https://g1.globo.com/economia/noticia/2026/08/31/governo-quer-padronizar-uso-de-biometria-em-portos-e-aeroportos.ghtml,1,2026-09-16T21:57:39.653642-03:00
TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,,2026-08-26T13:17:40.549Z,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml,2,2026-09-16T21:57:41.300442-03:00
Carteirinha do Passe Livre causa dúvidas com nova exigência de documento da LGPD,"Volta às aulas provoca aumento na procura pelo serviço, que registrou filas e estudantes sem entender a documentação necessária.",2026-02-03T13:40:26-03:00,https://g1.globo.com/mg/triangulo-mineiro/mg1-uberlandia/video/carteirinha-do-passe-livre-causa-duvidas-com-nova-exigencia-de-documento-da-lgpd-14312548.ghtml,2,2026-09-16T21:57:41.300442-03:00
